,id,id_str,user_location,country_location
159,1352721437195333633,1352721437195333633,"Melbourne, Victoria",Australia
160,1352719598303502337,1352719598303502337,Not Available,Unknown
161,1352715899346640897,1352715899346640897,"Los Angeles, CA",United States
162,1352715156787138560,1352715156787138560,Not Available,Unknown
163,1352713578273517570,1352713578273517570,"ID, UT, CA, KS, CT",United States
164,1352701327097405445,1352701327097405445,"Whitby, Ontario, Canada",Canada
165,1352692599405105153,1352692599405105153,"Bonn, Germany",Germany
166,1352670788738932737,1352670788738932737,"College Park, MD",United States
167,1352663318742228993,1352663318742228993,"Sarasota, FL",United States
168,1352655694076456961,1352655694076456961,"New York, USA",United States
169,1352654399244480515,1352654399244480515,Not Available,Unknown
170,1352651073958379520,1352651073958379520,"South West, England",United Kingdom
171,1352649082926489600,1352649082926489600,"Brighton, England",United Kingdom
172,1352644600893214725,1352644600893214725,"Brighton, England",United Kingdom
173,1352641092479377409,1352641092479377409,swimming in oceans,Unknown
174,1352636696714649600,1352636696714649600,"Raleigh, NC",United States
175,1352630483939549187,1352630483939549187,PracticalAction,Unknown
176,1352617636069216261,1352617636069216261,San Francisco Bay,United States
177,1352616216796540929,1352616216796540929,"Boston, MA",United States
178,1352615606676320256,1352615606676320256,Vermont,United States
179,1352611646087307268,1352611646087307268,"Atlantic, Pacific, Indian, Arctic, & Southern Oceans",Unknown
180,1352609413371195395,1352609413371195395,Not Available,Unknown
181,1352604029285789697,1352604029285789697,Not Available,Unknown
182,1352598621317959681,1352598621317959681,Not Available,Unknown
183,1357852007135027202,1357852007135027202,"Victoria, B.C.",Canada
184,1357845645000921093,1357845645000921093,"Miami, FL",United States
185,1357839359483858946,1357839359483858946,Greater Houston; 59% Irish,Unknown
186,1357825006982606849,1357825006982606849,"Conception Bay Sth, NL, Canada",Canada
187,1357807966448021506,1357807966448021506,University of Miami,United States
188,1357804318754275337,1357804318754275337,"Koh Tao, Thailand",Thailand
189,1357718404438888449,1357718404438888449,Not Available,Unknown
190,1357713750976065545,1357713750976065545,USA,United States
191,1357702630458466307,1357702630458466307,"Bronx, New York",United States
192,1357702142027530248,1357702142027530248,Not Available,Unknown
193,1357682459098439689,1357682459098439689,Not Available,Unknown
194,1357677893669724166,1357677893669724166,Australia,Australia
195,1357673900948258819,1357673900948258819,"Sydney, Australia",Australia
196,1357664926840590340,1357664926840590340,Not Available,Unknown
197,1357663407420432385,1357663407420432385,Oxford,United Kingdom
198,1357644211479281665,1357644211479281665,London and Brighton,United Kingdom
199,1357642826532741120,1357642826532741120,"Villefranche-sur-Mer, France",France
200,1357638599794167809,1357638599794167809,"Washington, DC",United States
201,1357611105347018753,1357611105347018753,Not Available,Unknown
202,1357569910935805954,1357569910935805954,Stockholm,Sweden
203,1357531251716988931,1357531251716988931,Not Available,Unknown
204,1357479373473988608,1357479373473988608,"Malibu, CA",United States
205,1357344382332985347,1357344382332985347,Not Available,Unknown
206,1357317445128753153,1357317445128753153,Mid-Atlantic,Unknown
207,1357305817654042624,1357305817654042624,Ethiopia,Ethiopia
208,1357302128751042560,1357302128751042560,Boston,United States
209,1357270194297700359,1357270194297700359,Not Available,Unknown
